,Unnamed: 0,AB,TI,year,SO,DT,PM,methods,MNCS,methods2
818,815,"The spatiotemporal dynamics of cortical oscillations across human brain regions remain poorly understood because of a lack of adequately validated methods for reconstructing such activity from noninvasive electrophysiological data. In this paper, we present a novel adaptive spatial filtering algorithm optimized for robust source time frequency reconstruction from magnetoencephalography (MEG) and electroencephalography ( EEG) data. The efficacy of the method is demonstrated with simulated sources and is also applied to real MEG data from a self-paced finger movement task. The algorithm reliably reveals modulations both in the beta band (12-30 Hz) and high gamma band (65-90 Hz) in sensorimotor cortex. The performance is validated by both across-subjects statistical comparisons and by intracranial electrocorticography (ECoG) data from two epilepsy patients. Interestingly, we also reliably observed high frequency activity (30-300 Hz) in the cerebellum, although with variable locations and frequencies across subjects. The proposed algorithm is highly parallelizable and runs efficiently on modern high-performance computing clusters. This method enables the ultimate promise of MEG and EEG for five-dimensional imaging of space, time, and frequency activity in the brain and renders it applicable for widespread studies of human cortical dynamics during cognition. (c) 2008 Elsevier Inc. All rights reserved.",Five-dimensional neuroimaging: Localization of the time-frequency dynamics of cortical activity,2008,NEUROIMAGE,Article,18356081,"['ECoG', 'EEG', 'MEG']",2.05,ECoG
818,815,"The spatiotemporal dynamics of cortical oscillations across human brain regions remain poorly understood because of a lack of adequately validated methods for reconstructing such activity from noninvasive electrophysiological data. In this paper, we present a novel adaptive spatial filtering algorithm optimized for robust source time frequency reconstruction from magnetoencephalography (MEG) and electroencephalography ( EEG) data. The efficacy of the method is demonstrated with simulated sources and is also applied to real MEG data from a self-paced finger movement task. The algorithm reliably reveals modulations both in the beta band (12-30 Hz) and high gamma band (65-90 Hz) in sensorimotor cortex. The performance is validated by both across-subjects statistical comparisons and by intracranial electrocorticography (ECoG) data from two epilepsy patients. Interestingly, we also reliably observed high frequency activity (30-300 Hz) in the cerebellum, although with variable locations and frequencies across subjects. The proposed algorithm is highly parallelizable and runs efficiently on modern high-performance computing clusters. This method enables the ultimate promise of MEG and EEG for five-dimensional imaging of space, time, and frequency activity in the brain and renders it applicable for widespread studies of human cortical dynamics during cognition. (c) 2008 Elsevier Inc. All rights reserved.",Five-dimensional neuroimaging: Localization of the time-frequency dynamics of cortical activity,2008,NEUROIMAGE,Article,18356081,"['ECoG', 'EEG', 'MEG']",2.05,EEG
818,815,"The spatiotemporal dynamics of cortical oscillations across human brain regions remain poorly understood because of a lack of adequately validated methods for reconstructing such activity from noninvasive electrophysiological data. In this paper, we present a novel adaptive spatial filtering algorithm optimized for robust source time frequency reconstruction from magnetoencephalography (MEG) and electroencephalography ( EEG) data. The efficacy of the method is demonstrated with simulated sources and is also applied to real MEG data from a self-paced finger movement task. The algorithm reliably reveals modulations both in the beta band (12-30 Hz) and high gamma band (65-90 Hz) in sensorimotor cortex. The performance is validated by both across-subjects statistical comparisons and by intracranial electrocorticography (ECoG) data from two epilepsy patients. Interestingly, we also reliably observed high frequency activity (30-300 Hz) in the cerebellum, although with variable locations and frequencies across subjects. The proposed algorithm is highly parallelizable and runs efficiently on modern high-performance computing clusters. This method enables the ultimate promise of MEG and EEG for five-dimensional imaging of space, time, and frequency activity in the brain and renders it applicable for widespread studies of human cortical dynamics during cognition. (c) 2008 Elsevier Inc. All rights reserved.",Five-dimensional neuroimaging: Localization of the time-frequency dynamics of cortical activity,2008,NEUROIMAGE,Article,18356081,"['ECoG', 'EEG', 'MEG']",2.05,MEG
819,816,The thickness of the cerebral cortex can provide valuable information about normal and abnormal neuroanatomy. High resolution MRI together with powerful image processing techniques has made it possible to perform these measurements automatically over the whole brain. Here we present a method for automatically generating voxel-based cortical thickness (VBCT) maps. This technique results in maps where each voxel in the grey matter is assigned a thickness value. Sub-voxel measurements of thickness are possible using sub-sampling and interpolation of the image information. The method is applied to repeated MRI scans of a single subject from two MRI scanners to demonstrate its robustness and reproducibility. A simulated data set is used to show that small focal differences in thickness between two groups of subjects can be detected. We propose that the analysis of VBCT maps can provide results that are complementary to other anatomical analyses such as voxel-based morphometry. (c) 2008 Elsevier Inc. All rights reserved.,Voxel-based cortical thickness measurements in MRI,2008,NEUROIMAGE,Article,18325790,['MRI'],1.72,MRI
820,817,"Accumulating evidence demonstrates that similar neural circuits are activated during the first-hand experience of pain and the observation of pain in others. However, most functional MRI studies did not detect signal change in the primary somatosensory cortex during pain empathy. To test if the perception of pain in others involves the primary somatosensory cortex, neuromagnetic oscillatory activity was recorded from the primary somatosensory cortex in 16 participants while they observed static pictures depicting body parts in painful and non-painful situations. The left median nerve was stimulated at the wrist, and the poststimulus rebounds of the similar to 10-Hz somatosensory cortical oscillations were quantified. Compared to the baseline condition, the level of the similar to 10-Hz oscillations was suppressed during both of the observational situations, indicating the activation of the primary somatosensory cortex. Importantly, watching painful compared to non-painful situations suppressed somatosensory oscillations to a significant stronger degree. In addition, the suppression caused by perceiving others in the painful relative to the non-painful situations correlated with the perspective taking subscale of the interpersonal reaction index. These results, consistent with the mirror-neuron system, demonstrate that the perception of pain in others modulates neural activity in primary somatosensory cortex and supports the idea that the perception of pain in others elicits subtle somatosensory activity that may be difficult to detect by fMRI techniques. (C) 2008 Elsevier Inc. All rights reserved.",The perception of pain in others suppresses somatosensory oscillations: A magnetoencephalography study,2008,NEUROIMAGE,Article,18353686,"['fMRI', 'MEG', 'MRI']",2.16,fMRI
820,817,"Accumulating evidence demonstrates that similar neural circuits are activated during the first-hand experience of pain and the observation of pain in others. However, most functional MRI studies did not detect signal change in the primary somatosensory cortex during pain empathy. To test if the perception of pain in others involves the primary somatosensory cortex, neuromagnetic oscillatory activity was recorded from the primary somatosensory cortex in 16 participants while they observed static pictures depicting body parts in painful and non-painful situations. The left median nerve was stimulated at the wrist, and the poststimulus rebounds of the similar to 10-Hz somatosensory cortical oscillations were quantified. Compared to the baseline condition, the level of the similar to 10-Hz oscillations was suppressed during both of the observational situations, indicating the activation of the primary somatosensory cortex. Importantly, watching painful compared to non-painful situations suppressed somatosensory oscillations to a significant stronger degree. In addition, the suppression caused by perceiving others in the painful relative to the non-painful situations correlated with the perspective taking subscale of the interpersonal reaction index. These results, consistent with the mirror-neuron system, demonstrate that the perception of pain in others modulates neural activity in primary somatosensory cortex and supports the idea that the perception of pain in others elicits subtle somatosensory activity that may be difficult to detect by fMRI techniques. (C) 2008 Elsevier Inc. All rights reserved.",The perception of pain in others suppresses somatosensory oscillations: A magnetoencephalography study,2008,NEUROIMAGE,Article,18353686,"['fMRI', 'MEG', 'MRI']",2.16,MEG
820,817,"Accumulating evidence demonstrates that similar neural circuits are activated during the first-hand experience of pain and the observation of pain in others. However, most functional MRI studies did not detect signal change in the primary somatosensory cortex during pain empathy. To test if the perception of pain in others involves the primary somatosensory cortex, neuromagnetic oscillatory activity was recorded from the primary somatosensory cortex in 16 participants while they observed static pictures depicting body parts in painful and non-painful situations. The left median nerve was stimulated at the wrist, and the poststimulus rebounds of the similar to 10-Hz somatosensory cortical oscillations were quantified. Compared to the baseline condition, the level of the similar to 10-Hz oscillations was suppressed during both of the observational situations, indicating the activation of the primary somatosensory cortex. Importantly, watching painful compared to non-painful situations suppressed somatosensory oscillations to a significant stronger degree. In addition, the suppression caused by perceiving others in the painful relative to the non-painful situations correlated with the perspective taking subscale of the interpersonal reaction index. These results, consistent with the mirror-neuron system, demonstrate that the perception of pain in others modulates neural activity in primary somatosensory cortex and supports the idea that the perception of pain in others elicits subtle somatosensory activity that may be difficult to detect by fMRI techniques. (C) 2008 Elsevier Inc. All rights reserved.",The perception of pain in others suppresses somatosensory oscillations: A magnetoencephalography study,2008,NEUROIMAGE,Article,18353686,"['fMRI', 'MEG', 'MRI']",2.16,MRI
821,818,"Proper singing requires the integration of auditory feedback mechanisms with the vocal motor system, such that vocal pitch can be precisely controlled. To determine the neural substrates involved in audio-vocal integration, non-musicians and experienced singers underwent fMRI scanning while they sang a single tone with either unaltered (""simple"") or pitch-shifted auditory feedback; in pitch-shifted trials, subjects were instructed either to ignore or compensate for the shifted feedback. We hypothesized that the anterior cingulate cortex (ACC), superior temporal gyrus (STG), and anterior insula may be involved in audio-vocal integration due to their functional roles during singing and their anatomical connectivity. Although singers were more accurate than non-musicians in simple singing, both groups recruited similar functional networks. Singers ignored the shifted feedback better than non-musicians, and both groups also displayed different patterns of neural activity for this task: singers recruited bilateral auditory areas and left putamen, while non-musicians recruited the left supramarginal gyrus and primary motor cortex. While there were no significant group differences in performing the compensate task, singers displayed enhanced activity in the ACC, superior temporal sulcus, and putamen, whereas non-musicians exhibited increased activity in the dorsal premotor cortex, a region involved with sensorimotor interactions. We propose two neural substrates for audio-vocal integration: the dorsal premotor cortex may act as a basic interface, but with vocal training and practice, the ACC, auditory cortices, and putamen may be increasingly recruited as people learn to monitor their auditory feedback and adjust their vocal output accordingly. (C) 2008 Elsevier Inc. All rights reserved.",Experience-dependent neural substrates involved in vocal pitch regulation during singing,2008,NEUROIMAGE,Article,18343163,['fMRI'],1.83,fMRI
822,819,"Moral judgment in the mature state depends on ""theory of mind"", or the capacity to attribute mental states (e. g., beliefs, desires, and intentions) to moral agents. The current study uses functional magnetic resonance imaging (fMRI) to investigate the cognitive processes for belief attribution in moral judgment. Participants read vignettes in a 2 x 2 x 2 design: protagonists produced either a negative or neutral outcome, based on the belief that they were causing the negative outcome or the neutral outcome; presentation of belief information either preceded or followed outcome information. In each case, participants judged the moral permissibility of the action. The results indicate that while the medial prefrontal cortex is recruited for processing belief valence, the temporo-parietal junction and precuneus are recruited for processing beliefs in moral judgment via two distinct component processes: (1) encoding beliefs and (2) integrating beliefs with other relevant features of the action (e. g., the outcome) for moral judgment. (C) 2008 Elsevier Inc. All rights reserved.",The neural basis of belief encoding and integration in moral judgment,2008,NEUROIMAGE,Article,18342544,['fMRI'],1.9,fMRI
823,820,"Neuronal activity-induced changes in vascular tone and oxygen consumption result in a dynamic evolution of blood flow, volume, and oxygenation. Functional neuroimaging techniques, such as functional magnetic resonance imaging, optical imaging, and PET, provide indirect measures of the neural-induced vascular dynamics driving the blood parameters. Models connecting changes in vascular tone and oxygen consumption to observed changes in the blood parameters are needed to guide more quantitative physiological interpretation of these functional neuroimaging modalities. Effective lumped-parameter vascular balloon and Windkessel models have been developed for this purpose, but the lumping of the complex vascular network into a series of arterioles, capillaries, and venules allows only qualitative interpretation. We have therefore developed a parallel vascular anatomical network (VAN) model based on microscopically measurable properties to improve quantitative interpretation of the vascular response. The model, derived from measured physical properties, predicts baseline blood pressure and oxygen saturation distributions and dynamic responses consistent with literature. Furthermore, the VAN model allows investigation of spatial features of the dynamic vascular and oxygen response to neuronal activity. We find that a passive surround negative vascular response (""negative BOLD"") is predicted, but that it underestimates recently observed surround negativity suggesting that additional active surround vasoconstriction is required to explain the experimental data. (C) 2008 Elsevier Inc. All rights reserved.",Avascular anatomical network model of the spatio-temporal response to brain activation,2008,NEUROIMAGE,Article,18289880,"['Opticalimaging', 'PET']",1.72,Opticalimaging
823,820,"Neuronal activity-induced changes in vascular tone and oxygen consumption result in a dynamic evolution of blood flow, volume, and oxygenation. Functional neuroimaging techniques, such as functional magnetic resonance imaging, optical imaging, and PET, provide indirect measures of the neural-induced vascular dynamics driving the blood parameters. Models connecting changes in vascular tone and oxygen consumption to observed changes in the blood parameters are needed to guide more quantitative physiological interpretation of these functional neuroimaging modalities. Effective lumped-parameter vascular balloon and Windkessel models have been developed for this purpose, but the lumping of the complex vascular network into a series of arterioles, capillaries, and venules allows only qualitative interpretation. We have therefore developed a parallel vascular anatomical network (VAN) model based on microscopically measurable properties to improve quantitative interpretation of the vascular response. The model, derived from measured physical properties, predicts baseline blood pressure and oxygen saturation distributions and dynamic responses consistent with literature. Furthermore, the VAN model allows investigation of spatial features of the dynamic vascular and oxygen response to neuronal activity. We find that a passive surround negative vascular response (""negative BOLD"") is predicted, but that it underestimates recently observed surround negativity suggesting that additional active surround vasoconstriction is required to explain the experimental data. (C) 2008 Elsevier Inc. All rights reserved.",Avascular anatomical network model of the spatio-temporal response to brain activation,2008,NEUROIMAGE,Article,18289880,"['Opticalimaging', 'PET']",1.72,PET
824,821,"Major advances have been made in the understanding of the neurobiology of psychopathy in the past years, yet the distribution and extent of neuroanatomical abnormalities underlying the disorder are still poorly known. It is also unclear if different dimensions of the construct of psychopathy (e. g., emotional callousness, antisocial behavior) correspond to structural abnormalities in distinct regions of the brain. We tested the following hypotheses: (1) psychopathy is related to grey matter reductions in regions of the brain that underlie moral conduct and (2) the severity of psychopathy is related to the degree of structural abnormalities. Optimized voxel-based morphometry and the screening version of the Psychopathy Checklist (PCL: SV) were employed to investigate a matched sample of 15 community psychiatric patients with high PCL: SV scores, and 15 healthy normal volunteers. The analyses controlled for total grey matter, white matter and cerebrospinal fluid volumes. Grey matter reductions were observed in the frontopolar, orbitofrontal and anterior temporal cortices, superior temporal sulcus region, and insula of the patients. The degree of structural abnormalities was significantly related to the interpersonal/affective dimension of psychopathy. The pattern of grey matter reductions in patients with high psychopathy scores comprised a distributed fronto-temporal network which plays a critical role in moral sensibility and behavior. (C) 2008 Elsevier Inc. All rights reserved.",Psychopathy as a disorder of the moral brain: Fronto-temporo-limbic grey matter reductions demonstrated by voxel-based morphometry,2008,NEUROIMAGE,Article,18289882,['MRI'],1.98,MRI
825,822,"Contrary to expectations derived from preclinical studies of the effects of stress, and imaging studies of adults with posttraumatic stress disorder (PTSD), there is no evidence of hippocampus atrophy in children with PTSD. Multiple pediatric studies have reported reductions in the corpus callosum - the primary white matter tract in the brain. Consequently, in the present study, diffusion tensor imaging was used to assess white matter integrity in the corpus callosum in 17 maltreated children with PTSD and 15 demographically matched normal controls. Children with PTSD had reduced fractional anisotropy in the medial and posterior corpus, a region which contains interhemispheric projections from brain structures involved in circuits that mediate the processing of emotional stimuli and various memory functions - core disturbances associated with a history of trauma. Further exploration of the effects of stress on the corpus callosum and white matter development appears a promising strategy to better understand the pathophysiology of PTSD in children. (C) 2007 Elsevier Ireland Ltd. All rights reserved.",Corpus callosum in maltreated children with posttraumatic stress disorder: A diffusion tensor imaging study,2008,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,18296031,['DTI'],2.379499695,DTI
826,823,"Three-dimensional atlases and databases of the brain at different ages facilitate the description of neuroanatomy and the monitoring of cerebral growth and development. Brain segmentation is challenging in young children due to structural differences compared to adults. We have developed a method, based on established algorithms, for automatic segmentation of young children's brains into 83 regions of interest (ROIs), and applied this to an exemplar group of 33 2-year-old subjects who had been born prematurely. The algorithm uses prior information from 30 normal adult brain magnetic resonance (MR) images, which had been manually segmented to create 30 atlases, each labeling 83 anatomical structures. Each of these adult atlases was registered to each 2-year-old target MR image using non-rigid registration based on free-form deformations. Label propagation from each adult atlas yielded a segmentation of each 2-year-old brain into 83 ROIs. The final segmentation was obtained by combination of the 30 propagated adult atlases using decision fusion, improving accuracy over individual propagations. We validated this algorithm by comparing the automatic approach with three representative manually segmented volumetric regions (the subcortical caudate nucleus, the neocortical precentral gyros and the archicortical hippocampus) using similarity indices (SI), a measure of spatial overlap (intersection over average). SI results for automatic versus manual segmentations for these three structures were 0.90 +/- 0.01, 0.90 +/- 0.01 and 0.88 +/- 0.03 respectively. This registration approach allows the rapid construction of automatically labelled age-specific brain atlases for children at the age of 2 years. (c) 2007 Elsevier Inc. All rights reserved.",Automatic segmentation of brain MRIs of 2-year-olds into 83 regions of interest,2008,NEUROIMAGE,Article,18234511,['nomethod'],2.23,nomethod
827,824,"Background: Mesial temporal lobe epilepsy (mTLE) with hippocampus sclerosis (HS) is an important cause for focal epilepsy. In this study, we explored the integrity of connecting networks using diffusion tensor imaging (DTI) and two whole-brain voxel-based methods: statistical parametric mapping (SPM) and tract-based spatial statistics (TBSS). Methods: Thirty-three consecutive patients with mTLE and HS undergoing presurgical evaluation were scanned at 3 T, a DTI data set was acquired and parametric maps of fractional anisotropy (FA) and mean diffusivity (MD) were calculated. Twenty-one patients had left hippocampal sclerosis (LHS) and 12 patients had right HS (RHS). These groups were compared to 37 normal control subjects using both SPM5 and TBSS. Results: The ipsilateral temporal lobe showed widespread FA reduction in both groups. The limbic system was clearly abnormal in the LHS group, also involving the arcuate fasciculus. In RHS, changes were more restricted but also showed involvement of the contralateral temporal and inferior frontal lobe. Increased MD was found in the ipsilateral hippocampus by SPM that was only marginally detected by TBSS. In white matter regions, however, TBSS was more sensitive to changes than SPM. Conclusion: DT1 detects extensive changes in mTLE with HS. The affected networks were principally in the ipsilateral temporal lobe and the limbic system but also the arcuate fasciculus. SPM and TBSS gave complementary information with higher sensitivity to FA changes using TBSS. (c) 2008 Elsevier Inc. All rights reserved.",Voxel-based diffusion tensor imaging in patients with mesial temporal lobe epilepsy and hippocampal sclerosis,2008,NEUROIMAGE,Article,18261930,['DTI'],2.34,DTI
828,825,"Although motor imagery is widely used for motor learning in rehabilitation and sports training, the underlying mechanisms are still poorly understood. Based on fMRI data sets acquired with very high temporal resolution (300 ms) under motor execution and imagery conditions, we utilized Dynamic Causal Modeling (DCM) to determine effective connectivity measures between supplementary motor area (SMA) and primary motor cortex (M1). A set of 28 models was tested in a Bayesian framework and the by-far best-performing model revealed a strong suppressive influence of the motor imagery condition on the forward connection between SMA and M1. Our results clearly indicate that the lack of activation in M1 during motor imagery is caused by suppression from the SMA. These results highlight the importance of the SMA not only for the preparation and execution of intended movements, but also for suppressing movements that are represented in the motor system but not to be performed. (c) 2007 Elsevier Inc. All rights reserved.",The suppressive influence of SMA on M1 in motor imagery revealed by fMRI and dynamic causal modeling,2008,NEUROIMAGE,Article,18234512,['fMRI'],1.94,fMRI
829,826,"Wallerian degeneration plays a significant role in many central nervous system (CNS) diseases. Tracking the progression of Wallerian degeneration may provide better understanding of the evolution of many CNS diseases. In this study, a 28-day longitudinal in vivo DTI of optic nerve (ON) and optic tract (OT) was conducted to evaluate the temporal and spatial evolution of Wallerian degeneration resulting from the transient retinal ischemia. At 3-28 days after ischemia, ipsilateral ON and contralateral OT showed significant reduction in axial diffusivity (32-40% and 21-29% respectively) suggestive of axonal damage. Both ON and OT showed significant increase in radial diffusivity, 200-290% and 58-65% respectively, at 9-28 days suggestive of myelin damage. Immunohistochemistry of phosphorylated neurofilament (pNF) and myelin basic protein (MBP) was performed to assess axonal and myelin integrities validating the DTI findings. Both DTI and immunohistochemistry detected that transient retinal ischemia caused more severe damage to ON than to OT. The current results suggest that axial and radial diffusivities are capable of reflecting the severity of axonal and myelin damage in mice as assessed using immunohistochemistry. (c) 2007 Elsevier Inc. All rights reserved.",Evolving Wallerian degeneration after transient retinal ischemia in mice characterized by diffusion tensor imaging,2008,NEUROIMAGE,Article,18187343,['DTI'],1.94,DTI
830,827,"The peripheral benzodiazepine receptor (PBR) is upregulated on activated microglia and macrophages and thereby is a useful biomarker of inflammation. We developed a novel PET radioligand, [C-11]PBR28, that was able to image and quantify PBRs in healthy monkeys and in a rat model of stroke. The objective of this study was to evaluate the ability of [C-11]PBR28 to quantify PBRs in brain of healthy human subjects. Twelve subjects had PET scans of 120 to 180 min duration as well as serial sampling of arterial plasma to measure the concentration of unchanged parent radioligand. One- and two-tissue compartmental analyses were performed. To obtain stable estimates of distribution volume, which is a summation of B-max/K-D and nondisplaceable activity, 90 min of brain imaging was required. Distribution volumes in human were only similar to 5% of those in monkey. This comparatively low amount of receptor binding required a two-rather than a one-compartment model, suggesting that nonspecific binding was a sizeable percentage compared to specific binding. The time-activity curves in two of the twelve subjects appeared as if they had no PBR binding-i.e., rapid peak of uptake and fast washout from brain. The cause(s) of these unusual findings are unknown, but both subjects were also found to lack binding to PBRs in peripheral organs such as lung and kidney. In conclusion, with the exception of those subjects who appeared to have no PBR binding, [C-11] PBR28 is a promising ligand to quantify PBRs and localize inflammation associated with increased densities of PBRs. (c) 2007 Elsevier Inc. All rights reserved.","Kinetic analysis in healthy humans of a novel positron emission tomography radioligand to image the peripheral benzodiazepine receptor, a potential biomarker for inflammation",2008,NEUROIMAGE,Article,18093844,['PET'],1.72,PET
831,828,"In this study a resting-state fMRI based classifier, for the first time, was proposed and applied to discriminate children with attention-deficit/hyperactivity disorder (ADHD) from normal controls. On the basis of regional homogeneity (ReHo), a mapping of brain function at resting state, PCA-based Fisher discriminative analysis (PC-FDA) was trained to build a linear classifier. Permutation test was then conducted to identify the brain areas with the most significant contribution to the final discrimination. Experimental results showed a correct classification rate of 85% using a leave-one-out cross-validation. Moreover, some highly discriminative brain regions, like the prefrontal cortex and anterior cingulate cortex, well confirmed the previous findings on ADHD. Interestingly, some important but less reported regions such as the thalamus were also identified. We conclude that the classifier, using resting-state brain function as classification feature, has potential ability to improve current diagnosis and treatment evaluation of ADHD. (c) 2007 Published by Elsevier Inc.",Fisher discriminative analysis of resting-state brain function for attention-deficit/hyperactivity disorder,2008,NEUROIMAGE,Article,18191584,"['fMRI', 'rsFMRI']",1.98,fMRI
831,828,"In this study a resting-state fMRI based classifier, for the first time, was proposed and applied to discriminate children with attention-deficit/hyperactivity disorder (ADHD) from normal controls. On the basis of regional homogeneity (ReHo), a mapping of brain function at resting state, PCA-based Fisher discriminative analysis (PC-FDA) was trained to build a linear classifier. Permutation test was then conducted to identify the brain areas with the most significant contribution to the final discrimination. Experimental results showed a correct classification rate of 85% using a leave-one-out cross-validation. Moreover, some highly discriminative brain regions, like the prefrontal cortex and anterior cingulate cortex, well confirmed the previous findings on ADHD. Interestingly, some important but less reported regions such as the thalamus were also identified. We conclude that the classifier, using resting-state brain function as classification feature, has potential ability to improve current diagnosis and treatment evaluation of ADHD. (c) 2007 Published by Elsevier Inc.",Fisher discriminative analysis of resting-state brain function for attention-deficit/hyperactivity disorder,2008,NEUROIMAGE,Article,18191584,"['fMRI', 'rsFMRI']",1.98,rsFMRI
832,829,"Fast, parallel word recognition, in expert readers, relies on sectors of the left ventral occipito-temporal pathway collectively known as the visual word form area. This expertise is thought to arise from perceptual learning mechanisms that extract informative features from the input strings. The perceptual expertise hypothesis leads to two predictions: (1) parallel word recognition, based on the ventral visual system, should be limited to words displayed in a familiar format (foveal horizontal words with normally spaced letters); (2) words displayed in formats outside this field of expertise should be read serially, under supervision of dorsal parietal attention systems. We presented adult readers with words that were progressively degraded in three different ways (word rotation, letter spacing, and displacement to the visual periphery). Behaviorally, we identified degradation thresholds above which reading difficulty increased non-linearly, with the concomitant emergence of a word length effect on reading latencies reflecting serial reading strategies. fMRI activations were correlated with reading difficulty in bilateral occipito-temporal and parietal regions, reflecting the strategies required to identify degraded words. A core region of the intraparietal cortex was engaged in all modes of degradation. Furthermore, in the ventral pathway, word degradation led to an amplification of activation in the posterior visual word form area, at a level thought to encode single letters. We also found an effect of word length restricted to highly degraded words in bilateral occipitoparietal regions. Those results clarify when and how the ventral parallel visual word form system needs to be supplemented by the deployment of dorsal serial reading strategies. (c) 2007 Elsevier Inc. All rights reserved.",Reading normal and degraded words: Contribution of the dorsal and ventral visual pathways,2008,NEUROIMAGE,Article,18182174,['fMRI'],2.23,fMRI
833,830,"Being able to envision emotional events that might happen in the future has a clear adaptive value. This study addressed the functional neuroanatomy of this process and investigated whether it is modulated by temporal distance. Participants imagined positive and negative events pertaining to the near future or far future while their brain activity, was measured with fMRI. The results demonstrate that the anterior part of the ventromedial prefrontal cortex (vmPFC) was more active in envisioning emotional events in the far future than in the near future, whereas the caudate nucleus was engaged in envisioning emotional (especially positive) situations in the near future. We argue that the anterior part of the vmPFC might assign emotional values to mental representations of future events that pertain to long-term goals. On the other hand, the caudate might support more concrete simulations of action plans to achieve rewarding situations in the near future. (c) 2007 Elsevier Inc. All rights reserved.",Neural correlates of envisioning emotional events in the near and far future,2008,NEUROIMAGE,Article,18164213,['fMRI'],1.68,fMRI
834,831,"Abnomalities of the anterior cingulate cortex (ACC) are thought to be involved in the pathophysiology of bipolar disorder, but structural Magnetic Resonance Imaging (MRI) studies have reported variable findings. Reasons for this include a failure to consider variability in regional cortical folding patterns and a reliance on relatively coarse measures (e.g., volume) to index anatomical change. We sought to overcome these limitations by combining a novel protocol for parcellating the ACC and adjacent paracingulate cortex (PaC) that accounts for inter-individual variations in sulcal and gyrat morphology with a cortical surface-based approach that allowed calculation of regional grey matter volume, surface area and cortical thickness in 24 patients with bipolar I disorder and 24 matched controls. No changes in grey matter volume or surface area were identified in any region, but patients did show significant reductions in cortical thickness in the left rostral PaC and right dorsal PaC that were not attributable to group differences in cortical folding patterns. These findings suggest that bipolar disorder is associated with more pronounced changes in the PaC, and that reliance on volumetric measures alone may obscure more subtle differences. (c) 2007 Published by Elsevier Ireland Ltd.",Anatomical abnormalities of the anterior cingulate and paracingulate cortex in patients with bipolar I disorder,2008,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,18207705,['MRI'],1.830384381,MRI
835,832,"Animal models suggest that sucrose activates taste afferents differently than non-caloric sweeteners. Little information exists how artificial sweeteners engage central taste pathways in the human brain. We assessed sucrose and sucralose taste pleasantness across a concentration gradient in 12 healthy control women and applied 10% sucrose and matched sucralose during functional magnet resonance imaging. The results indicate that (1) both sucrose and sucralose activate functionally connected primary taste pathways; (2) taste pleasantness predicts left insula response; (3) sucrose elicits a stronger brain response in the anterior insula, frontal operculum, striaturn and anterior cingulate, compared to sucralose; (4) only sucrose, but not sucralose, stimulation engages dopaminergic midbrain areas in relation to the behavioral pleasantness response. Thus, brain response distinguishes the caloric from the non-caloric sweetener, although the conscious mind could not. This could have important implications on how effective artificial sweeteners are in their ability to substitute sugar intake. (C) 2007 Elsevier Inc. All rights reserved.",Sucrose activates human taste pathways differently from artificial sweetener,2008,NEUROIMAGE,Article,18096409,['nomethod'],1.72,nomethod
836,833,"Previous studies demonstrated substantial variability of the location of primary visual cortex (V1) in stereotaxic coordinates when linear volume-based registration is used to match volumetric image intensities [Amunts, K., Malikovic, A., Mohlberg, H., Schormann, T., and Zilles, K. (2000). Brodmann's areas 17 and 18 brought into stereotaxic space-where and how variable? Neurohnage, 11(1):66-84]. However, other qualitative reports of V1 location [Smith, G. (1904). The morphoiogy of the occipital region of the cerebral hemisphere in man and the apes. Anatomischer Anzeiger, 24:436-451; Stensaas, S.S., Eddington, D.K., and Dobelle, W.H. (1974). The topography and variability of the primary visual cortex in man. J Neurosurg, 40(6):747-755; Rademacher, J., Caviness, V.S., Steinmetz, H., and Galaburda, A.M. (1993). Topographical variation of the human primary cortices: implications for neuroimaging, brain mapping, and neurobiology. Cereb Cortex, 3 (4):313-329] suggested a consistent relationship between V1 and the surrounding cortical folds. Here, the relationship between folds and the location of V1 is quantified using surface-based analysis to generate a probabilistic atlas of human V1. High-resolution (about 200 pm) magnetic resonance imaging (MRI) at 7 T of ex vivo human cerebral hemispheres allowed identification of the full area via the stria of Gennari: a myeloarchitectonic feature specific to V1. Separate, whole-brain scans were acquired using MRI at 1.5 T to allow segmentation and mesh reconstruction of the cortical gray matter. For each individual, V1 was manually identified in the high-resolution volume and projected onto the cortical surface. Surface-based intersubject registration [Fischl, B., Screno, M.I., Tootell, R.B., and Dale, A.M. (1999b). High-resolution intersubject averaging and a coordinate system for the cortical surface. Haiti Brain Mapp, 8(4):272-84] was performed to align the primary cortical folds of individual hemispheres to those of a reference template representing the average folding pattern. An atlas of V1 location was constructed by computing the probability of V1 inclusion for each cortical location in the template space. This probabilistic atlas of V1 exhibits low prediction error compared to previous V1 probabilistic atlases built in volumetric coordinates. The increased predictability observed under surface-based registration suggests that the location of V1 is more accurately predicted by the cortical folds than by the shape of the brain embedded in the volume of the skull. In addition, the high quality of this atlas provides direct evidence that surface-based intersubject registration methods are superior to volume-based methods at superimposing functional areas of cortex and therefore are better suited to support multisubject averaging for functional imaging experiments targeting the cerebral cortex. (C) 2007 Elsevier Inc. All rights reserved.",Accurate prediction of V1 location from cortical folds in a surface coordinate system,2008,NEUROIMAGE,Article,18055222,"['fMRI', 'MRI']",1.68,fMRI
